date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,flat_wear_rs,prana_wear_rs,elec_saving_rs,alt_extra_rs,wear_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-04-09,13247920.463196935,13211239.7578386,36680.70535833575,13247920.463196935,13192163.981838599,0.0,0.0,0.0,19075.775999999998,55756.481358336285,0.0,19075.775999999998,1895.9615760000006,1899.0142804999998,78.998399,82.884367,-85914.25850340119,5251.88,2989.4090624999994,0.5251100063323975
2026-04-10,14549605.328949789,14116245.93818744,433359.3907623477,14549605.328949789,14092966.40018744,0.0,0.0,0.0,23279.537999999997,456638.92876234837,0.0,23279.537999999997,1895.9615760000006,1900.2912392499998,78.998399,82.884367,-85914.25850340119,9950.13,3595.1240624999996,0.5152812004089355
2026-04-11,16336830.676895896,16001675.787290245,335154.8896056507,16336830.676895896,15961625.126405245,0.0,0.0,0.0,40050.660885,375205.5504906513,0.0,40050.660885,1895.9615760000006,1900.2896419999997,78.998399,83.456554,-98564.65136054414,9563.64,4426.776354166667,0.4349799156188965
2026-04-12,16001670.436162457,15784216.984726943,217453.4514355138,16001670.436162457,15760927.063126944,0.0,0.0,0.0,23289.921599999994,240743.37303551286,0.0,23289.921599999994,1895.9615760000006,1898.3581562499999,78.998399,82.884367,-85914.25850340119,9900.25,4270.815729166666,0.3556339740753174
2026-04-13,17909534.46102813,17482035.147673737,427499.3133543916,17909534.46102813,17395600.697601,0.0,0.0,0.0,86434.45007273625,513933.76342712715,0.0,86434.45007273625,1895.9615760000006,1901.1639182499998,78.998399,85.0,-132688.45748299314,8483.94,5158.605,0.3749125003814697
2026-04-14,18312734.230548702,17919382.827819023,393351.4027296789,18312734.230548702,17842273.516449023,0.0,0.0,0.0,77109.31137000001,470460.71409967914,0.0,77109.31137000001,1895.9615760000006,1900.5904212500002,78.998399,85.0,-132688.45748299314,9600.69,5346.2265625,0.5763514041900635
2026-04-15,18074904.463552095,17641657.833257064,433246.6302950308,18074904.463552095,17557365.251724485,0.0,0.0,0.0,84292.58153257925,517539.2118276097,0.0,84292.58153257925,1895.9615760000006,1899.5229069999996,78.998399,85.0,-132688.45748299314,10000.0,5235.556874999999,0.5490272045135498
2026-04-16,21356310.725539356,21107324.650175963,248986.07536339387,21356310.725539356,21025183.95245096,0.0,0.0,0.0,82140.697725,331126.7730883956,0.0,82140.697725,1895.9615760000006,1900.5822535000002,78.998399,85.0,-132688.45748299314,8558.32,6762.498645833333,0.7310135364532471
2026-04-17,21446867.131005198,21165663.754172076,281203.3768331222,21446867.131005198,21088837.720727075,0.0,0.0,0.0,76826.033445,358029.4102781229,0.0,76826.033445,1895.9615760000006,1897.7833972499998,78.998399,85.0,-132688.45748299314,8150.78,6804.637395833334,0.6394312381744385
2026-04-18,21287065.067415982,20995787.655842464,291277.41157351807,21287065.067415982,20919380.163272463,0.0,0.0,0.0,76407.49257,367684.9041435197,0.0,76407.49257,1895.9615760000006,1898.0518512499998,78.998399,85.0,-132688.45748299314,8150.33,6730.276458333334,0.5944883823394775
2026-04-19,18737443.978129864,18331162.40679276,406281.57133710384,18737443.978129864,18249619.90906026,0.0,0.0,0.0,81542.4977325,487824.0690696053,0.0,81542.4977325,1895.9615760000006,1898.0115309999999,78.998399,85.0,-132688.45748299314,9600.59,5543.857395833333,0.6366653442382812
2026-04-20,20195163.8799162,19902050.1697671,293113.7101490982,20195163.8799162,19822465.7167971,0.0,0.0,0.0,79584.45297,372698.16311910003,0.0,79584.45297,1895.9615760000006,1898.7593304999998,78.998399,85.0,-132688.45748299314,8380.1,6222.180416666666,0.722233772277832
2026-04-21,20935014.986589797,20635179.5980147,299835.3885750957,20935014.986589797,20559876.399422202,0.0,0.0,0.0,75303.1985925,375138.5871675946,0.0,75303.1985925,1895.9615760000006,1898.2215187499999,78.998399,85.0,-132688.45748299314,8200.630000000001,6566.456458333334,0.6361801624298096
2026-04-22,19651266.92954617,19310276.35405906,340990.57548711076,19651266.92954617,19233174.524674058,0.0,0.0,0.0,77101.829385,418092.404872112,0.0,77101.829385,1895.9615760000006,1898.2998807499998,78.998399,85.0,-132688.45748299314,8455.17,5969.088020833333,0.48620033264160156
2026-04-23,21250369.231539465,20959772.803160455,290596.4283790104,21250369.231539465,20879818.654205456,0.0,0.0,0.0,79954.148955,370550.5773340091,0.0,79954.148955,1895.9615760000006,1898.3431589999998,78.998399,85.0,-132688.45748299314,8675.119999999999,6713.200729166667,0.6402370929718018
2026-04-24,22608967.597818486,22404163.80300471,204803.79481377825,22608967.597818486,22330875.958804708,0.0,0.0,0.0,73287.8442,278091.6390137784,0.0,73287.8442,1895.9615760000006,1897.5756032499999,78.998399,85.0,-132688.45748299314,7610.12,7345.399375000001,0.5727200508117676
2026-04-25,23106020.70540776,22936682.390949674,169338.3144580871,23106020.70540776,22864954.371534675,0.0,0.0,0.0,71728.019415,241066.33387308568,0.0,71728.019415,1895.9615760000006,1897.5230499999998,78.998399,85.0,-132688.45748299314,7548.2,7576.693854166667,0.6212153434753418
2026-04-26,20138121.215205356,19777713.13163307,360408.0835722871,20138121.215205356,19699745.814863063,0.0,0.0,0.0,77967.31677000779,438375.4003422931,0.0,77967.31677000779,1895.9615760000006,1898.1267187499998,78.998399,85.0,-132688.45748299314,9992.7,6195.636666666668,0.5903744697570801
2026-04-27,18483406.456431672,18152772.736228254,330633.7202034183,18483406.456431672,18081648.754528232,0.0,0.0,0.0,71123.98170002335,401757.70190344006,0.0,71123.98170002335,1895.9615760000006,1898.50081425,78.998399,85.0,-132688.45748299314,9958.55,5425.645729166667,0.5579843521118164
2026-04-28,17228461.564860456,16834802.80807921,393658.7567812465,17228461.564860456,16757186.49189421,0.0,0.0,0.0,77616.316185,471275.07296624593,0.0,77616.316185,1895.9615760000006,1899.08451525,78.998399,85.0,-132688.45748299314,9990.68,4841.6803125,0.7194182872772217
2026-04-29,12854310.854569845,13150933.788801882,-296622.9342320375,12854310.854569845,13065481.148699382,0.0,0.0,0.0,85452.64010250001,-211170.29412953742,0.0,85452.64010250001,1895.9615760000006,1901.0017189999999,78.998399,85.0,-132688.45748299314,9900.8,2806.250104166667,0.49719882011413574
2026-04-30,11412823.779215924,11559728.429576024,-146904.65036009997,11412823.779215924,11471698.53547161,0.0,0.0,0.0,88029.8941044143,-58874.75625568628,0.0,88029.8941044143,1895.9615760000006,1899.4896824999996,78.998399,84.555122,-122852.71938775503,3619.1800000000003,2135.4807291666666,0.5089218616485596
2026-05-01,10444359.005169557,10413059.670430759,31299.33473879844,10444359.005169557,10398880.150030758,0.0,0.0,0.0,14179.5204,45478.855138799176,0.0,14179.5204,1895.9615760000006,1899.0442605,78.998399,82.884367,-85914.25850340119,4000.63,1684.8235416666666,0.5350449085235596
2026-05-02,11861151.321084497,11873579.606765881,-12428.285681383684,11861151.321084497,11861315.606765881,0.0,0.0,0.0,12263.999999999998,-164.28568138368428,0.0,12263.999999999998,1895.9615760000006,1900.8257485,78.998399,82.884367,-85914.25850340119,3813.97,2344.101666666667,0.8054125308990479
2026-05-03,10716717.694164643,10666940.114231715,49777.579932928085,10716717.694164643,10653344.594231715,0.0,0.0,0.0,13595.519999999999,63373.09993292764,0.0,13595.519999999999,1895.9615760000006,1899.59726775,78.998399,82.884367,-85914.25850340119,4005.62,1811.560625,0.6511991024017334
