date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,elec_saving_rs,alt_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-04-09,7607077.722036031,7585360.611653956,21717.11038207542,7607077.722036031,7585360.611653956,0.0,0.0,21717.11038207542,0.0,1102.090512,1102.97380775,45.920438,47.459088,-30877.670068027335,5251.88,2989.4090624999994,0.302992582321167
2026-04-10,8363725.197554392,8235409.09552413,128316.10203026142,8363725.197554392,8235409.09552413,0.0,0.0,128316.10203026142,0.0,1102.090512,1103.0777065,45.920438,47.459088,-30877.670068027335,9950.13,3595.1240624999996,0.2892334461212158
2026-04-11,9402609.172688974,9268740.37972017,133868.79296880402,9402609.172688974,9268740.37972017,0.0,0.0,133868.79296880402,0.0,1102.090512,1103.2131715,45.920438,47.459088,-30877.670068027335,9563.64,4426.776354166667,0.5808370113372803
2026-04-12,9207786.173115715,9107120.253305655,100665.91981006041,9207786.173115715,9107120.253305655,0.0,0.0,100665.91981006041,0.0,1102.090512,1102.9612652500002,45.920438,47.459088,-30877.670068027335,9900.25,4270.815729166666,0.33960556983947754
2026-04-13,10316795.378052572,10172418.35363867,144377.0244139023,10316795.378052572,10172418.35363867,0.0,0.0,144377.0244139023,0.0,1102.090512,1103.1884475,45.920438,47.459088,-30877.670068027335,8483.94,5158.605,0.386883020401001
2026-04-14,10551168.609057972,10416290.247400317,134878.36165765487,10551168.609057972,10416290.247400317,0.0,0.0,134878.36165765487,0.0,1102.090512,1102.923497,45.920438,47.459088,-30877.670068027335,9600.69,5346.2265625,0.32512998580932617
2026-04-15,10412922.173583727,10271439.734727707,141482.43885602057,10412922.173583727,10271439.734727707,0.0,0.0,141482.43885602057,0.0,1102.090512,1102.78289025,45.920438,47.459088,-30877.670068027335,10000.0,5235.556874999999,0.3238818645477295
2026-04-16,12320348.3330227,12231028.654322654,89319.67870004661,12320348.3330227,12231028.654322654,0.0,0.0,89319.67870004661,0.0,1102.090512,1103.0164305000003,45.920438,47.459088,-30877.670068027335,8558.32,6762.498645833333,0.3627188205718994
2026-04-17,12372987.245397331,12276639.102631386,96348.14276594482,12372987.245397331,12276639.102631386,0.0,0.0,96348.14276594482,0.0,1102.090512,1102.5315615,45.920438,47.459088,-30877.670068027335,8150.78,6804.637395833334,0.3148214817047119
2026-04-18,12280096.998933973,12181063.371612063,99033.62732191011,12280096.998933973,12181063.371612063,0.0,0.0,99033.62732191011,0.0,1102.090512,1102.56634325,45.920438,47.459088,-30877.670068027335,8150.33,6730.276458333334,0.40543127059936523
2026-04-19,10798045.227808138,10658976.756595515,139068.47121262364,10798045.227808138,10658976.756595515,0.0,0.0,139068.47121262364,0.0,1102.090512,1102.5582435000001,45.920438,47.459088,-30877.670068027335,9600.59,5543.857395833333,0.2536156177520752
2026-04-20,11645393.240156403,11536566.610110745,108826.63004565798,11645393.240156403,11536566.610110745,0.0,0.0,108826.63004565798,0.0,1102.090512,1102.8018000000002,45.920438,47.459088,-30877.670068027335,8380.1,6222.180416666666,0.28555917739868164
2026-04-21,12075456.21995472,11972649.1709641,102807.0489906203,12075456.21995472,11972649.1709641,0.0,0.0,102807.0489906203,0.0,1102.090512,1102.6352082500002,45.920438,47.459088,-30877.670068027335,8200.630000000001,6566.456458333334,0.3132514953613281
2026-04-22,11329235.109054836,11211354.804163508,117880.3048913274,11329235.109054836,11211354.804163508,0.0,0.0,117880.3048913274,0.0,1102.090512,1102.65136575,45.920438,47.459088,-30877.670068027335,8455.17,5969.088020833333,0.3190577030181885
2026-04-23,12258766.327963972,12159846.861318875,98919.46664509736,12258766.327963972,12159846.861318875,0.0,0.0,98919.46664509736,0.0,1102.090512,1102.6373370000001,45.920438,47.459088,-30877.670068027335,8675.119999999999,6713.200729166667,0.3445870876312256
2026-04-24,13048496.662190331,12973867.813709002,74628.84848132916,13048496.662190331,12973867.813709002,0.0,0.0,74628.84848132916,0.0,1102.090512,1102.49049725,45.920438,47.459088,-30877.670068027335,7610.12,7345.399375000001,0.3658254146575928
2026-04-25,13337425.256930087,13272749.143152457,64676.11377763003,13337425.256930087,13272749.143152457,0.0,0.0,64676.11377763003,0.0,1102.090512,1102.5098830000002,45.920438,47.459088,-30877.670068027335,7548.2,7576.693854166667,0.38180017471313477
2026-04-26,11612235.300484626,11490511.945326645,121723.3551579807,11612235.300484626,11490511.945326645,0.0,0.0,121723.3551579807,0.0,1102.090512,1102.53251475,45.920438,47.459088,-30877.670068027335,9992.7,6195.636666666668,0.26419663429260254
2026-04-27,10650377.497670775,10522202.68192497,128174.81574580446,10650377.497670775,10522202.68192497,0.0,0.0,128174.81574580446,0.0,1102.090512,1102.70969075,45.920438,47.459088,-30877.670068027335,9958.55,5425.645729166667,0.27275872230529785
2026-04-28,9920899.18144803,9777867.548893392,143031.63255463727,9920899.18144803,9777867.548893392,0.0,0.0,143031.63255463727,0.0,1102.090512,1102.7457559999998,45.920438,47.459088,-30877.670068027335,9990.68,4841.6803125,0.3123948574066162
2026-04-29,7378279.08993762,7412690.542134413,-34411.4521967927,7378279.08993762,7412690.542134413,0.0,0.0,-34411.4521967927,0.0,1102.090512,1103.0281165000001,45.920438,47.459088,-30877.670068027335,9900.8,2806.250104166667,0.3553950786590576
2026-04-30,6540366.94602707,6553615.0680204,-13248.121993329376,6540366.94602707,6553615.0680204,0.0,0.0,-13248.121993329376,0.0,1102.090512,1102.8277387500002,45.920438,47.459088,-30877.670068027335,3619.1800000000003,2135.4807291666666,0.3332555294036865
2026-05-01,5977414.694149405,5960456.504911555,16958.189237849787,5977414.694149405,5960456.504911555,0.0,0.0,16958.189237849787,0.0,1102.090512,1103.1022057500002,45.920438,47.459088,-30877.670068027335,4000.63,1684.8235416666666,0.31825876235961914
2026-05-02,6800972.190572193,6800276.547966808,695.6426053848118,6800972.190572193,6800276.547966808,0.0,0.0,695.6426053848118,0.0,1102.090512,1103.3875022500001,45.920438,47.459088,-30877.670068027335,3813.97,2344.101666666667,0.32686400413513184
2026-05-03,6135732.210074761,6107733.708436342,27998.501638418995,6135732.210074761,6107733.708436342,0.0,0.0,27998.501638418995,0.0,1102.090512,1103.00638325,45.920438,47.459088,-30877.670068027335,4005.62,1811.560625,0.5005455017089844
2026-05-04,6507279.142645549,6508118.138309341,-838.9956637918949,6507279.142645549,6508118.138309341,0.0,0.0,-838.9956637918949,0.0,1102.090512,1103.07984025,45.920438,47.459088,-30877.670068027335,3921.9,2108.993125,0.3535494804382324
2026-05-05,7121788.464379866,7119899.293717687,1889.170662178658,7121788.464379866,7119899.293717687,0.0,0.0,1889.170662178658,0.0,1102.090512,1103.26253675,45.920438,47.459088,-30877.670068027335,4601.04,2600.9230208333333,0.39325642585754395
2026-05-06,7613743.662439084,7597455.458819861,16288.203619223088,7613743.662439084,7597455.458819861,0.0,0.0,16288.203619223088,0.0,1102.090512,1103.19391425,45.920438,47.459088,-30877.670068027335,4650.99,2994.7453125000006,0.44384026527404785
