date,flat_bill_rs,prana_bill_rs,saving_rs,flat_elec_rs,prana_elec_rs,flat_alt_rs,prana_alt_rs,elec_saving_rs,alt_extra_rs,flat_mwh,prana_mwh,flat_peak_mw,prana_peak_mw,md_saving_rs,rtm_spread_rs_mwh,rtm_mean_rs_mwh,solve_s
2026-04-09,16260075.284855792,15938745.205721172,321330.0791346207,15393803.684012042,14874559.664383672,866271.60084375,1064185.5413375,519244.0196283702,197913.94049375004,2230.2079200000003,2163.8481660000007,92.92533,92.644981,5626.051360544283,5251.88,2989.4090624999994,6.987904071807861
2026-04-10,17791239.172190897,17207605.239870206,583633.9323206916,16924967.571347147,16143419.698532706,866271.60084375,1064185.5413375,781547.8728144411,197913.94049375004,2230.2079200000003,2166.16313825,92.92533,93.352205,-8566.539115646156,9950.13,3595.1240624999996,10.044963121414185
2026-04-11,19893541.33710258,19243886.458734922,649654.8783676587,19027269.73625883,18179700.91739742,866271.60084375,1064185.5413375,847568.81886141,197913.94049375004,2230.2079200000003,2168.0211362500004,92.92533,93.680947,-15163.742517006816,9563.64,4426.776354166667,9.552952527999878
2026-04-12,19499294.410996716,18911424.358927496,587870.0520692207,18633022.810152967,17847238.817589995,866271.60084375,1064185.5413375,785783.992562972,197913.94049375004,2230.2079200000003,2167.99752025,92.92533,94.591626,-33439.27346938779,9900.25,4270.815729166666,9.61913514137268
2026-04-13,21743503.108261216,20999202.204543073,744300.9037181437,20877231.507417466,19935016.66320557,866271.60084375,1064185.5413375,942214.844211895,197913.94049375004,2230.2079200000003,2170.330017,92.92533,94.779438,-37208.28979591816,8483.94,5158.605,5.708901643753052
2026-04-14,22217784.512858074,21460912.02556363,756872.487294443,21351512.912014324,20396726.48422613,866271.60084375,1064185.5413375,954786.4277881943,197913.94049375004,2230.2079200000003,2170.4698339999995,92.92533,95.259424,-46840.6619047618,9600.69,5346.2265625,5.513897657394409
2026-04-15,21938026.823313218,21183452.057829924,754574.7654832937,21071755.222469468,20119266.516492423,866271.60084375,1064185.5413375,952488.705977045,197913.94049375004,2230.2079200000003,2169.60271875,92.92533,95.259424,-46840.6619047618,10000.0,5235.556874999999,6.532553434371948
2026-04-16,25797924.791109156,25009209.030422572,788715.7606865838,24931653.190265406,23945023.48908507,866271.60084375,1064185.5413375,986629.7011803351,197913.94049375004,2230.2079200000003,2169.0458544999997,92.92533,94.839024,-38404.063265305944,8558.32,6762.498645833333,5.876466274261475
2026-04-17,25904445.73290099,25094050.769108087,810394.9637929015,25038174.13205724,24029865.227770586,866271.60084375,1064185.5413375,1008308.9042866528,197913.94049375004,2230.2079200000003,2168.48780625,92.92533,95.259424,-46840.6619047618,8150.78,6804.637395833334,5.035512924194336
2026-04-18,25716471.550111424,24898901.76560001,817569.7845114134,24850199.949267674,23834716.22426251,866271.60084375,1064185.5413375,1015483.7250051647,197913.94049375004,2230.2079200000003,2168.829996,92.92533,95.259424,-46840.6619047618,8150.33,6730.276458333334,5.311198472976685
